Selecao,Ataque_Ingenuo,Defesa_Ingenua,Ataque_DC,Defesa_DC
Mexico,1.031658667606006,0.5814803399233851,2.4251958761190275,0.3164394767610483
South Korea,1.352240203986054,0.709371910287766,2.1811996007312295,0.5153349842874247
Czech Republic,1.4630795649685173,0.8828928409292777,2.345735866640533,0.6489959736873295
South Africa,1.0874240009901142,0.6129117096489735,1.5970057672746223,0.6204772598389183
Canada,1.0327620458601299,0.5378968988854844,2.2585899312376285,0.3215889826965509
Switzerland,1.3922853924700407,0.7787358974832431,3.5628853353978207,0.39496538712573676
Bosnia and Herzegovina,0.9363709215798511,1.1997252432741843,1.8363459638826565,0.6247258357262729
Qatar,1.0010544391889855,1.17431386135631,1.2908241865931789,1.106964913082249
Brazil,1.3117265065234984,0.7315397824842587,3.9999377942975736,0.4014730878342367
Morocco,1.679216318884321,0.26601446635791226,2.442079917139912,0.22026661628641472
Scotland,1.0711832529233787,0.9928039905143511,2.368392635374189,0.4781479294142475
Haiti,1.7556954779622207,0.7900629650829994,1.7123850712014623,0.7845744516922961
United States,1.225823419297947,1.0281099645724718,2.7658002412503837,0.6420369424155333
Australia,1.321491219971564,0.4719611499898443,2.2828330819360416,0.3524871121560531
Paraguay,0.8159482189247501,0.8722205098850776,2.3444645627565017,0.44556151738933497
Turkey,1.2680022896393817,0.9997710360618203,2.943573089314718,0.5107640888837663
Germany,1.8532341156267886,0.6583858042358328,4.474820042826434,0.3825169262003056
Ivory Coast,1.2455947647704946,0.4745122913411408,1.9168946106244227,0.34036646155248035
Ecuador,0.7803091013165426,0.41453921007441324,2.025762066335879,0.22025932164119402
Curaçao,1.5216027475672582,0.9071093302804808,1.21945831831428,1.141558460292412
Netherlands,1.7698543124619162,0.7315397824842587,3.884300183882423,0.40402958978859344
Japan,1.9263880938752145,0.4876931883228391,2.995141201147057,0.2856642632122554
Sweden,1.519351855928845,1.1535819646867156,3.3937520875399576,0.6938306688150965
Tunisia,0.9240502515590635,0.6545355948543368,1.5614222097346404,0.6284755026709298
Egypt,1.0588075799114272,0.5967824541318952,1.72221008544988,0.40865336308572814
Iran,1.5102756799675017,0.5899514374873054,2.494718483669685,0.5434535075909047
Belgium,1.5639816039318633,0.6810887630025857,3.270777926728151,0.4278634783268226
New Zealand,1.6256439610761304,0.7586338485021942,1.3950762155934127,0.6336334691002
Spain,1.8517100744132797,0.6400973096737264,3.9957267595978694,0.3318215185388313
Uruguay,0.8046937607326846,0.560847166571265,1.8208653851641676,0.3233109197416747
Cape Verde,0.8915641099026903,0.7086791642816256,1.3841487437202202,0.6332372895670805
Saudi Arabia,0.8404925160457442,0.7004104300381201,1.5170529366899428,0.6198121949667817
France,1.3686873349705484,0.7079417249847665,3.600253670818185,0.3654875228237763
Norway,2.0190497996565537,0.7022781911848883,4.005323789368382,0.38641716594251685
Senegal,1.4630795649685173,0.4349696003960457,2.8362058880773553,0.4395728518991251
Iraq,0.9490245826822816,0.7513111279568062,1.3639163304061306,0.5918775204901207
Argentina,1.633772180881511,0.2926159129937035,3.5295186033950507,0.15848975206417754
Austria,1.6982173521956008,0.6009076784692124,2.747320052996249,0.3566602099299014
Algeria,1.6642530051516884,0.5669433314253005,2.8094870486822083,0.42180460686561744
Jordan,1.2517458500286203,0.9266170578133943,2.1483862284822104,0.7762658409189215
Portugal,1.5810698524659783,0.7551378399837508,3.520044650766248,0.38746838089627184
Colombia,1.533873737466994,0.6843436674852742,3.9263056741809423,0.41688793595125373
DR Congo,0.8737836290784201,0.44705208929593593,1.5241216574492704,0.3328129320458846
Uzbekistan,0.991118414978673,0.5427553224883209,1.5372113184899467,0.4876240654953996
England,1.4630795649685173,0.4572123640526617,3.1698112300575545,0.300936434714898
Ghana,1.0450568321203695,0.9144247281053234,1.6881178359420563,0.5960549300936695
Panama,1.1071953464626618,1.0281099645724718,1.6974355579064269,0.7705937595590464
Croatia,1.4369531441655081,0.8882983073023141,3.0336060886080607,0.5311778271286018
